epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2155,1.13495,3.16634,1.2863,0.00611,1,0.995,0.74111,0.88819,2.77634,0.84106,6.668e-05,6.668e-05,6.668e-05
2,28.0707,1.00806,2.28986,1.11675,0.00747,1,0.995,0.7779,0.71687,2.51712,0.79241,0.000148545,0.000148545,0.000148545
3,38.1977,0.80577,1.17535,0.99514,0.98187,1,0.995,0.60386,1.21691,1.99901,0.9434,0.000228759,0.000228759,0.000228759
4,47.9727,0.71949,0.86202,0.97258,0.96214,1,0.995,0.71103,0.78134,2.25499,0.85577,0.000307323,0.000307323,0.000307323
5,57.5723,0.8374,0.86152,1.0492,0.00706,1,0.995,0.72158,0.83979,2.58227,0.86955,0.000384237,0.000384237,0.000384237
6,67.3784,0.77675,0.85362,1.01906,0.00681,1,0.995,0.6945,0.83186,2.58756,0.90233,0.0004595,0.0004595,0.0004595
7,77.049,0.68351,0.80488,1.00793,0.94741,1,0.995,0.71222,0.89167,2.4196,0.98484,0.000533113,0.000533113,0.000533113
8,86.6471,0.80529,0.8036,1.01443,0.98687,1,0.995,0.72574,0.96612,2.15165,1.00433,0.000605076,0.000605076,0.000605076
9,96.4473,0.79615,0.74138,1.00667,0.00724,1,0.995,0.76754,0.83166,2.33641,0.97369,0.000675388,0.000675388,0.000675388
10,106.404,0.79563,0.72688,1.05271,0.00727,1,0.995,0.58173,0.87864,2.61963,0.91705,0.00074405,0.00074405,0.00074405
11,116.622,0.73436,0.74586,0.99095,0.83421,0.55934,0.918,0.55758,0.84095,2.46887,0.90137,0.000811062,0.000811062,0.000811062
12,126.339,0.66675,0.69784,0.98858,0.77211,1,0.84409,0.42446,1.14039,2.25505,1.04808,0.000876424,0.000876424,0.000876424
